"age","female","voted_gen_14","voted_gen_12","treat_ind","racename","democrat","therm_trans_t0","therm_trans_t1","therm_trans_t2"
48,1,1,1,0,"Caucasian",0,50,49,50
24,0,0,0,0,"African American",1,22,20,34
30,0,0,0,0,"African American",1,20,36,50
62,1,0,1,0,"African American",1,50,50,50
54,1,0,1,0,"Hispanic",1,50,50,57
59,0,1,1,0,"Hispanic",0,50,50,50
56,1,1,1,0,"Hispanic",1,35,20,25
24,1,1,1,0,"Hispanic",1,90,90,80
35,1,1,1,0,"Hispanic",1,84,86,58
19,0,0,0,1,"Caucasian",0,50,100,70
42,0,1,1,0,"Hispanic",0,73,88,60
58,1,1,1,0,"Caucasian",0,76,80,72
80,0,1,1,0,"Caucasian",1,62,100,76
69,1,1,1,0,"Caucasian",1,88,65,91
53,1,0,1,0,"Caucasian",0,46,48,50
56,0,1,1,0,"Caucasian",1,80,50,62
44,1,1,0,1,"African American",1,88,50,50
18,1,1,0,0,"Hispanic",0,50,50,50
46,1,1,1,0,"Hispanic",1,50,76,50
42,1,0,0,0,"Hispanic",1,0,50,50
37,0,0,0,1,"Hispanic",0,50,27,50
83,0,0,0,1,"Hispanic",0,0,0,0
77,0,1,1,0,"Caucasian",0,0,0,50
66,1,0,1,0,"Hispanic",0,0,0,0
64,0,1,1,0,"Caucasian",1,50,50,50
76,1,1,1,0,"Caucasian",1,50,50,50
72,1,1,1,0,"Hispanic",1,94,50,65
40,1,0,0,0,"Hispanic",1,50,50,50
55,0,0,1,1,"African American",1,50,50,50
47,1,1,1,0,"Caucasian",0,50,50,50
68,1,0,1,1,"Hispanic",1,50,30,63
69,1,0,1,1,"Caucasian",1,50,50,100
51,0,1,1,0,"Hispanic",0,0,15,6
72,0,1,0,0,"Caucasian",1,0,25,30
59,1,0,1,0,"Caucasian",0,100,84,100
69,0,1,1,1,"Hispanic",0,0,0,0
66,1,1,1,1,"Hispanic",0,50,0,23
64,1,1,1,0,"Caucasian",1,50,85,60
47,0,1,1,0,"Hispanic",1,50,50,50
41,0,0,0,1,"Caucasian",0,16,50,23
38,1,1,1,1,"African American",1,0,75,10
43,0,1,1,1,"Caucasian",1,100,100,100
43,1,1,1,1,"Caucasian",1,77,99,78
43,1,1,1,1,"Caucasian",1,100,99,50
30,0,1,1,0,"Hispanic",0,71,50,84
28,1,1,1,0,"Hispanic",0,50,76,95
36,0,1,1,1,"Hispanic",1,50,65,80
61,1,1,1,1,"Caucasian",0,100,82,93
80,0,1,0,1,"Caucasian",0,50,50,50
37,1,1,1,1,"Hispanic",1,100,100,95
47,1,1,1,0,"Hispanic",0,100,100,100
47,0,1,1,0,"Caucasian",0,74,50,100
55,1,1,1,0,"Caucasian",0,40,50,50
68,0,1,1,1,"Caucasian",0,0,5,50
49,1,1,1,1,"African American",1,84,96,97
26,0,0,1,1,"African American",1,91,100,100
20,1,0,1,1,"African American",1,100,100,100
41,0,0,1,0,"African American",1,100,100,100
24,0,0,0,0,"Hispanic",1,79,51,71
47,1,1,1,0,"African American",1,50,97,91
30,1,0,1,1,"Caucasian",0,0,49,22
23,0,0,1,0,"Hispanic",0,45,51,50
20,1,0,0,0,"Hispanic",0,85,68,74
56,1,0,1,0,"Caucasian",1,50,50,50
25,1,0,0,1,"Hispanic",1,100,96,50
19,0,1,0,1,"Hispanic",0,80,79,80
48,1,1,1,0,"African American",1,50,50,80
28,1,1,1,0,"African American",1,50,50,50
53,1,1,1,0,"African American",1,50,100,100
58,1,1,1,1,"Hispanic",0,0,100,50
40,1,1,1,0,"Hispanic",0,50,50,50
41,0,1,1,0,"Hispanic",0,100,51,69
68,1,1,1,0,"Hispanic",0,100,64,50
56,1,1,1,1,"African American",1,50,50,56
50,0,1,1,0,"Caucasian",1,50,50,50
51,0,1,1,0,"Hispanic",0,50,50,50
41,1,1,1,0,"Caucasian",0,5,37,50
19,1,0,0,0,"Caucasian",0,45,50,46
23,0,0,1,0,"African American",1,50,23,27
70,0,1,1,0,"African American",1,50,93,21
51,1,1,1,0,"African American",1,50,20,18
32,0,0,1,1,"African American",1,50,50,50
71,0,1,1,0,"Caucasian",1,82,50,75
37,0,1,1,1,"African American",1,43,73,69
49,0,1,1,0,"African American",1,90,61,60
45,1,0,0,1,"Hispanic",0,0,0,0
52,1,1,1,1,"African American",1,70,85,92
20,0,0,0,1,"African American",1,100,50,83
73,0,1,1,1,"African American",1,86,50,0
37,1,1,1,1,"African American",1,50,22,50
19,0,0,0,1,"African American",0,50,27,8
25,0,1,1,1,"African American",1,50,100,100
48,0,0,1,1,"Caucasian",1,50,50,53
57,1,0,1,1,"Caucasian",1,50,50,50
58,1,1,1,0,"African American",1,51,50,50
21,1,0,1,0,"African American",0,50,86,50
73,1,1,1,1,"African American",1,0,20,30
53,1,1,1,1,"African American",1,0,20,25
19,0,1,0,1,"African American",1,50,19,50
24,1,1,1,1,"African American",1,50,100,90
30,0,1,1,1,"Native American",1,0,51,50
41,1,1,1,1,"African American",1,50,100,50
71,1,0,1,0,"African American",1,50,50,50
35,1,0,0,0,"African American",1,50,50,50
65,1,0,1,0,"African American",1,30,35,30
24,1,0,1,0,"Hispanic",0,50,40,43
89,1,1,1,0,"Hispanic",1,50,50,50
18,1,0,0,0,"Caucasian",0,50,50,50
24,0,0,0,0,"Caucasian",0,50,20,50
64,1,1,1,1,"African American",1,83,74,97
20,1,0,0,1,"African American",1,36,55,50
55,1,1,1,0,"African American",1,50,50,50
67,0,1,1,0,"Caucasian",1,96,61,84
24,1,1,1,0,"Caucasian",1,50,66,78
33,0,0,0,1,"Hispanic",1,0,0,3
65,1,1,1,0,"African American",1,24,3,50
26,1,1,1,0,"African American",1,29,12,25
52,0,1,1,1,"Hispanic",0,0,0,0
85,1,1,1,1,"Hispanic",0,0,0,0
36,1,1,1,1,"Hispanic",1,50,50,82
19,0,0,0,1,"African American",1,42,50,50
22,1,0,1,1,"African American",0,62,79,58
26,1,0,1,1,"Hispanic",1,50,50,100
58,0,1,1,0,"Hispanic",0,50,50,50
45,0,0,1,0,"African American",1,90,53,53
58,1,0,1,0,"Hispanic",1,50,50,50
21,1,0,1,0,"African American",1,50,50,50
32,1,1,1,1,"Hispanic",1,91,100,100
21,1,0,0,1,"African American",0,100,92,73
61,1,1,1,1,"African American",1,45,50,50
59,1,0,1,0,"African American",1,50,71,50
22,1,1,1,0,"Hispanic",1,100,100,100
78,1,0,0,0,"Hispanic",0,46,54,44
31,1,1,1,0,"Hispanic",0,83,73,90
54,0,0,0,0,"Hispanic",1,90,97,85
21,0,0,1,1,"African American",0,35,5,50
42,1,1,1,1,"African American",1,50,74,82
37,0,1,1,0,"Hispanic",1,50,76,92
67,0,1,1,0,"Hispanic",0,0,50,50
56,1,1,1,1,"African American",1,50,50,50
60,0,1,1,1,"African American",1,59,50,50
55,1,0,1,1,"Hispanic",1,100,100,100
68,1,1,1,0,"African American",0,29,50,50
73,0,1,1,0,"African American",0,16,50,50
51,0,1,1,0,"Asian",0,50,54,50
40,1,1,1,1,"Hispanic",1,0,8,14
50,0,1,1,1,"Hispanic",1,50,42,50
26,0,1,1,0,"Caucasian",0,50,75,80
66,1,1,1,0,"Caucasian",0,50,50,70
54,0,1,1,0,"Caucasian",0,23,35,49
68,0,1,1,0,"Caucasian",0,50,43,72
29,0,0,1,1,"Hispanic",0,50,50,50
23,0,1,1,1,"Hispanic",0,50,50,50
36,1,1,1,1,"Hispanic",0,50,80,75
77,0,1,1,1,"Caucasian",1,50,100,76
39,1,0,1,1,"Hispanic",0,100,100,100
49,1,0,0,1,"Hispanic",0,70,100,100
65,1,1,1,1,"Hispanic",0,31,95,73
75,1,1,1,1,"Caucasian",0,50,100,58
24,1,0,1,0,"Hispanic",0,90,90,80
60,1,1,1,1,"Hispanic",1,50,50,50
55,0,0,0,0,"Asian",1,50,50,50
44,1,1,1,1,"Hispanic",0,50,76,47
69,1,0,0,1,"Hispanic",0,50,94,50
46,1,1,1,0,"Caucasian",1,92,84,78
27,1,0,0,1,"Hispanic",0,50,50,70
34,1,0,0,0,"Hispanic",0,100,88,80
33,0,0,1,0,"Hispanic",0,0,13,98
68,0,1,1,1,"Caucasian",1,9,48,60
71,1,1,1,1,"Caucasian",1,64,76,62
51,1,0,0,1,"Caucasian",1,43,84,70
64,0,0,1,0,"Hispanic",0,50,17,50
53,1,1,1,0,"Hispanic",1,60,30,20
29,1,1,1,0,"Hispanic",1,30,20,20
48,1,1,1,0,"Hispanic",0,50,50,50
48,0,1,1,0,"Caucasian",0,50,50,50
18,0,0,0,1,"Caucasian",0,50,72,77
39,1,0,0,1,"Caucasian",0,50,50,61
63,0,1,1,0,"Caucasian",0,49,46,50
22,1,0,0,1,"Asian",1,41,58,60
64,0,0,1,1,"Asian",1,64,40,42
19,0,1,0,1,"Asian",1,85,83,80
23,0,1,1,0,"Hispanic",0,100,100,90
50,0,1,1,0,"Caucasian",0,94,82,90
44,1,0,0,0,"Caucasian",0,50,50,96
57,1,0,1,1,"Hispanic",1,0,50,50
58,1,1,1,1,"Hispanic",1,51,100,100
63,0,0,1,1,"Hispanic",0,0,0,0
77,1,0,1,1,"Hispanic",0,0,0,0
70,1,1,1,0,"Hispanic",0,50,50,50
90,1,1,1,1,"Caucasian",1,50,50,50
26,1,0,0,1,"Hispanic",0,50,50,41
67,1,1,1,0,"Hispanic",0,20,0,13
70,0,1,1,1,"Hispanic",0,50,50,50
81,0,0,1,1,"Hispanic",0,47,50,50
60,1,1,1,1,"Hispanic",0,50,50,50
55,1,1,1,1,"Hispanic",0,14,3,10
63,0,1,1,1,"Hispanic",0,24,0,10
57,1,0,1,0,"Hispanic",0,37,41,38
67,0,1,1,0,"Hispanic",0,88,90,90
52,0,0,1,0,"Caucasian",0,12,27,36
63,1,0,1,0,"Caucasian",1,37,39,33
20,1,1,0,0,"Hispanic",0,100,100,100
40,1,0,1,0,"Hispanic",0,100,100,100
43,0,1,1,1,"Caucasian",0,50,50,50
40,1,1,0,1,"Hispanic",0,50,86,70
21,0,0,1,0,"Caucasian",0,65,71,54
59,0,0,1,0,"Caucasian",1,50,0,50
57,1,1,1,0,"Hispanic",0,45,50,50
41,1,0,1,1,"Hispanic",0,71,93,93
75,0,1,1,0,"Hispanic",0,50,64,50
80,1,0,1,0,"Hispanic",0,86,31,100
35,1,0,1,0,"Hispanic",1,100,50,62
51,1,0,1,0,"Hispanic",0,50,50,50
30,1,0,0,0,"Hispanic",0,50,50,50
20,1,0,1,1,"Hispanic",1,85,79,83
43,0,0,0,1,"Hispanic",1,76,83,85
22,0,1,1,0,"Hispanic",0,46,64,67
70,0,1,1,1,"Hispanic",0,0,13,0
59,1,1,1,1,"Hispanic",0,52,50,3
33,1,0,1,1,"Caucasian",0,89,90,87
32,0,1,1,1,"Caucasian",0,50,50,50
73,0,1,1,1,"Hispanic",0,0,0,0
20,1,0,0,1,"Hispanic",0,5,0,0
54,0,1,1,1,"Hispanic",0,0,0,0
55,1,1,1,0,"Caucasian",1,96,89,96
60,0,1,1,0,"Hispanic",0,50,50,60
67,0,1,1,1,"Caucasian",1,60,70,61
74,0,0,1,1,"Caucasian",0,0,50,29
48,1,1,1,1,"Hispanic",0,50,81,83
50,0,1,1,1,"Hispanic",1,20,52,50
40,0,0,0,1,"Hispanic",0,50,100,100
46,1,0,1,1,"Hispanic",0,50,100,88
74,0,1,1,1,"Caucasian",1,50,96,50
26,1,0,0,1,"Hispanic",0,93,100,100
44,0,0,1,1,"Caucasian",0,80,75,90
78,1,1,1,1,"Caucasian",1,50,50,50
79,0,1,1,1,"Caucasian",1,50,50,50
79,1,1,1,0,"Hispanic",0,21,50,50
39,1,1,1,0,"Caucasian",0,50,50,50
58,0,1,1,1,"Hispanic",0,50,44,50
49,1,1,1,1,"Hispanic",0,52,50,82
19,1,1,0,1,"Hispanic",0,65,60,90
27,1,0,0,1,"Hispanic",0,100,100,100
68,0,1,0,1,"Hispanic",0,50,100,100
42,1,0,1,1,"Caucasian",0,50,50,50
82,1,1,1,0,"Hispanic",0,50,50,41
72,0,1,1,1,"Caucasian",0,95,85,75
52,1,1,1,0,"Hispanic",0,50,50,69
57,0,1,1,1,"Caucasian",0,75,85,95
73,1,1,1,0,"Caucasian",0,50,85,92
65,0,1,1,0,"Hispanic",0,61,50,75
30,1,1,1,0,"Caucasian",0,78,82,50
30,0,1,1,0,"Hispanic",0,71,75,80
66,1,1,1,1,"Caucasian",1,100,100,100
61,0,1,1,1,"Caucasian",1,100,50,90
42,1,1,1,0,"Hispanic",0,50,100,95
33,1,0,1,0,"Hispanic",0,85,50,50
33,0,0,1,0,"Hispanic",0,35,30,50
53,1,1,1,0,"Caucasian",0,20,28,7
27,1,1,1,0,"Hispanic",0,50,31,18
77,1,1,1,0,"Hispanic",0,0,0,0
29,1,0,0,0,"Hispanic",0,95,77,70
33,0,1,1,1,"Hispanic",0,0,0,0
61,1,0,0,0,"Caucasian",0,60,73,70
22,0,0,1,1,"Caucasian",0,50,39,50
29,1,1,0,0,"Caucasian",1,63,83,62
53,1,0,1,0,"Caucasian",1,80,100,100
64,0,1,1,1,"Caucasian",0,31,28,50
71,0,1,1,1,"Caucasian",1,29,50,50
46,1,1,1,0,"Hispanic",0,50,46,50
55,0,1,1,0,"Caucasian",0,16,23,29
65,1,0,0,0,"Hispanic",0,18,50,0
77,0,0,0,0,"Caucasian",0,0,0,0
30,0,0,0,0,"Caucasian",0,20,50,0
72,1,1,1,0,"Hispanic",0,28,20,0
46,0,1,1,0,"Hispanic",0,50,51,0
48,1,1,1,1,"Caucasian",1,50,50,50
59,1,1,1,0,"Hispanic",1,77,50,100
62,1,1,1,1,"Caucasian",0,50,50,50
59,1,1,1,0,"Hispanic",0,50,50,71
53,1,0,1,1,"Hispanic",1,99,100,100
30,0,0,1,1,"Hispanic",1,100,100,53
