"age","female","voted_gen_14","voted_gen_12","treat_ind","racename","democrat","therm_trans_t0","therm_trans_t1","therm_trans_t2","therm_trans_t3","therm_trans_t4","therm_obama_t0","therm_obama_t1","therm_obama_t2","therm_obama_t4"
75,0,1,1,0,"African American",1,50,NA,NA,NA,27,50,NA,NA,50
73,1,1,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
48,1,1,1,1,"Hispanic",1,50,NA,NA,NA,NA,100,NA,NA,NA
50,1,1,1,1,"African American",1,50,81,71,75,90,91,90,50,50
58,1,0,1,0,"African American",1,50,50,50,50,50,100,100,100,50
21,1,0,1,0,"Hispanic",0,50,NA,NA,NA,NA,0,NA,NA,NA
23,1,0,0,1,"Caucasian",0,100,100,100,50,NA,86,88,50,NA
40,1,0,0,1,"Caucasian",0,100,100,100,50,NA,88,81,80,NA
68,1,0,1,1,"Caucasian",0,100,100,99,98,95,74,60,75,50
22,1,0,0,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
63,1,1,1,1,"African American",0,10,NA,NA,NA,NA,75,NA,NA,NA
19,1,0,0,0,"African American",1,66,NA,NA,NA,NA,89,NA,NA,NA
45,1,0,1,0,"Hispanic",0,0,NA,NA,NA,NA,50,NA,NA,NA
28,1,0,1,1,"African American",0,14,19,27,17,22,100,81,83,81
25,0,1,1,1,"Hispanic",0,23,NA,NA,NA,NA,25,NA,NA,NA
26,1,1,1,1,"Hispanic",0,81,NA,NA,NA,NA,78,NA,NA,NA
58,1,1,0,0,"African American",1,50,50,50,50,50,50,50,42,50
22,0,1,0,0,"African American",0,50,50,50,50,50,50,50,50,50
18,1,0,0,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
31,0,0,0,0,"Hispanic",0,50,50,50,50,NA,50,50,50,NA
17,0,0,0,0,"Hispanic",0,50,50,50,50,NA,50,50,50,NA
40,0,1,1,0,"Hispanic",1,60,50,50,50,50,100,50,100,50
88,1,0,1,0,"Hispanic",1,83,NA,NA,NA,NA,77,NA,NA,NA
53,1,0,1,0,"Hispanic",0,67,NA,NA,NA,NA,38,NA,NA,NA
23,0,1,1,0,"Hispanic",0,70,NA,NA,NA,NA,85,NA,NA,NA
58,1,1,1,1,"Caucasian",1,100,NA,NA,NA,NA,83,NA,NA,NA
34,1,1,1,1,"Hispanic",1,100,NA,NA,NA,NA,92,NA,NA,NA
25,1,0,1,0,"African American",1,50,50,50,50,50,50,50,50,50
23,1,0,1,1,"African American",1,100,50,NA,100,NA,100,50,NA,NA
40,1,1,1,0,"African American",1,70,NA,NA,NA,NA,100,NA,NA,NA
41,1,1,1,0,"African American",1,50,65,NA,8,50,100,100,NA,100
29,0,0,0,0,"African American",0,39,NA,NA,NA,NA,100,NA,NA,NA
