"age","female","voted_gen_14","voted_gen_12","treat_ind","racename","democrat","therm_trans_t0","therm_trans_t1","therm_trans_t2","therm_trans_t3","therm_trans_t4","therm_obama_t0","therm_obama_t1","therm_obama_t2","therm_obama_t4"
64,1,1,1,0,"Caucasian",1,50,50,50,50,69,100,100,100,50
24,1,0,1,0,"African American",1,86,100,100,100,60,100,100,100,50
46,1,1,1,0,"African American",1,50,55,75,70,NA,100,100,100,NA
51,0,1,1,0,"African American",1,0,100,50,50,NA,100,100,100,NA
76,1,1,1,0,"Caucasian",1,71,NA,NA,NA,NA,100,NA,NA,NA
74,0,1,1,1,"Caucasian",0,72,NA,NA,NA,NA,85,NA,NA,NA
71,1,1,0,1,"Hispanic",0,50,NA,NA,NA,NA,83,NA,NA,NA
56,1,1,1,1,"African American",1,50,50,50,50,50,92,50,50,80
25,1,0,1,0,"Hispanic",0,85,50,100,50,100,92,50,100,100
45,0,0,0,0,"Hispanic",1,0,NA,NA,NA,NA,50,NA,NA,NA
55,1,0,1,0,"Hispanic",1,0,0,50,2,50,0,63,100,50
52,1,0,1,0,"Hispanic",0,50,NA,NA,NA,NA,8,NA,NA,NA
20,1,0,0,0,"Hispanic",0,10,NA,NA,NA,NA,0,NA,NA,NA
20,1,0,0,1,"Hispanic",0,100,NA,NA,NA,NA,18,NA,NA,NA
64,1,0,0,1,"Hispanic",0,50,NA,NA,NA,NA,100,NA,NA,NA
59,1,1,1,1,"Caucasian",0,50,50,50,49,50,2,0,0,50
34,0,1,1,0,"African American",0,50,NA,NA,NA,NA,50,NA,NA,NA
73,0,1,0,0,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
64,1,1,1,0,"African American",1,27,NA,NA,NA,NA,71,NA,NA,NA
90,0,0,0,0,"Hispanic",1,50,NA,NA,NA,NA,74,NA,NA,NA
27,1,1,1,0,"Caucasian",1,71,NA,NA,NA,NA,93,NA,NA,NA
57,0,1,1,0,"Hispanic",0,50,NA,NA,NA,NA,6,NA,NA,NA
56,0,1,1,1,"Hispanic",0,58,NA,NA,NA,NA,100,NA,NA,NA
71,0,0,1,0,"Hispanic",1,50,50,50,50,NA,100,50,50,NA
66,1,0,1,0,"Hispanic",0,50,50,50,50,100,50,50,100,50
69,0,1,0,1,"Hispanic",1,20,NA,NA,NA,NA,100,NA,NA,NA
18,0,0,0,1,"Hispanic",1,100,NA,NA,NA,NA,80,NA,NA,NA
18,1,1,1,0,"Hispanic",0,100,NA,NA,NA,NA,100,NA,NA,NA
20,0,0,0,0,"Hispanic",1,100,NA,NA,NA,NA,90,NA,NA,NA
65,1,1,1,1,"Hispanic",1,50,NA,NA,NA,NA,100,NA,NA,NA
46,1,0,0,1,"Hispanic",0,50,50,50,50,53,6,50,50,100
41,0,0,0,1,"Hispanic",1,50,50,50,50,NA,0,4,50,NA
21,1,0,1,0,"Hispanic",0,50,NA,NA,NA,NA,50,NA,NA,NA
47,0,1,1,0,"African American",1,50,50,50,50,50,50,50,50,50
53,1,0,1,0,"Hispanic",1,80,NA,NA,NA,NA,80,NA,NA,NA
60,0,0,1,0,"Hispanic",1,100,NA,NA,NA,NA,76,NA,NA,NA
19,1,0,0,0,"Hispanic",1,100,NA,NA,NA,NA,100,NA,NA,NA
34,0,1,1,1,"Caucasian",0,80,86,80,90,80,100,100,100,100
36,1,1,1,1,"Caucasian",0,74,85,100,80,NA,100,95,100,NA
29,1,0,0,1,"Hispanic",0,27,NA,NA,NA,NA,0,NA,NA,NA
51,0,1,1,1,"Hispanic",0,0,NA,NA,NA,NA,0,NA,NA,NA
50,1,1,1,1,"Hispanic",0,0,NA,NA,NA,NA,0,NA,NA,NA
87,1,0,0,1,"Hispanic",0,100,NA,NA,NA,NA,0,NA,NA,NA
47,1,1,1,1,"Hispanic",0,48,NA,NA,NA,NA,18,NA,NA,NA
19,1,0,0,0,"Hispanic",1,100,NA,NA,NA,NA,65,NA,NA,NA
24,0,0,1,1,"African American",1,0,0,0,0,0,100,52,100,50
52,1,0,0,1,"Hispanic",1,27,50,26,50,NA,100,97,93,NA
46,0,0,1,1,"Caucasian",1,0,50,50,50,50,100,50,50,81
39,1,0,1,1,"Hispanic",1,58,61,87,68,NA,100,96,100,NA
65,1,1,1,1,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
42,1,0,1,0,"Hispanic",0,50,66,77,NA,50,82,100,85,50
56,1,1,1,0,"Hispanic",0,50,NA,NA,NA,NA,92,NA,NA,NA
56,0,1,1,1,"Caucasian",0,50,65,70,50,NA,72,70,70,NA
54,1,1,1,0,"Hispanic",0,51,NA,NA,NA,NA,40,NA,NA,NA
30,1,1,1,1,"African American",1,0,NA,NA,NA,NA,89,NA,NA,NA
20,0,1,1,0,"Hispanic",0,23,NA,NA,NA,NA,0,NA,NA,NA
51,0,1,1,1,"Hispanic",0,0,NA,NA,NA,NA,0,NA,NA,NA
60,0,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,72,NA,NA,NA
61,0,1,1,0,"Hispanic",0,22,NA,NA,NA,NA,0,NA,NA,NA
58,1,1,1,0,"Hispanic",0,37,NA,NA,NA,NA,0,NA,NA,NA
24,0,0,1,0,"Hispanic",0,40,NA,NA,NA,NA,0,NA,NA,NA
43,0,1,1,1,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
40,1,1,1,1,"African American",0,50,NA,NA,NA,NA,100,NA,NA,NA
77,0,1,1,1,"Caucasian",0,50,80,50,NA,50,50,71,50,50
24,0,0,0,0,"African American",1,50,NA,NA,NA,NA,80,NA,NA,NA
55,0,1,1,1,"Hispanic",0,100,83,71,81,77,100,100,100,50
40,1,1,1,1,"Caucasian",0,50,NA,14,35,NA,71,NA,40,NA
72,1,1,1,1,"African American",1,0,21,50,50,50,100,100,50,100
55,1,1,1,1,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
62,1,1,1,0,"Hispanic",0,89,NA,NA,NA,NA,97,NA,NA,NA
27,1,1,1,1,"Hispanic",0,49,NA,NA,NA,NA,29,NA,NA,NA
57,1,0,0,1,"Hispanic",0,30,NA,NA,NA,NA,7,NA,NA,NA
63,1,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,0,NA,NA,NA
26,0,0,0,1,"Hispanic",0,94,100,85,100,100,24,22,19,50
53,1,0,0,1,"Hispanic",0,100,NA,50,50,NA,0,NA,50,NA
53,0,0,0,1,"Caucasian",0,0,0,0,0,NA,0,0,0,NA
43,1,1,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
71,1,0,0,0,"African American",1,50,50,0,NA,NA,50,50,50,NA
27,0,0,1,0,"African American",0,50,50,50,NA,NA,50,50,50,NA
30,1,1,1,0,"African American",1,50,0,25,NA,NA,50,100,100,NA
63,0,1,1,0,"Caucasian",1,60,NA,NA,NA,NA,100,NA,NA,NA
60,0,0,0,1,"Caucasian",1,100,100,100,100,94,65,40,50,50
59,0,1,1,1,"Caucasian",0,50,60,54,71,55,32,50,32,10
43,0,1,1,1,"Caucasian",0,9,NA,NA,NA,NA,0,NA,NA,NA
80,1,1,1,0,"Caucasian",1,7,0,50,23,52,82,100,84,100
53,0,1,1,0,"Caucasian",1,50,41,49,50,NA,75,71,73,NA
48,1,1,1,0,"Caucasian",0,50,49,50,50,50,71,50,77,50
27,0,0,0,0,"African American",1,94,NA,NA,NA,NA,22,NA,NA,NA
34,0,1,0,0,"African American",0,100,NA,NA,NA,NA,6,NA,NA,NA
61,1,1,1,1,"African American",0,100,NA,NA,NA,NA,100,NA,NA,NA
24,0,0,0,0,"African American",1,22,20,34,42,36,88,50,49,62
30,0,0,0,0,"African American",1,20,36,50,40,NA,100,95,100,NA
62,1,0,1,0,"African American",1,50,50,50,50,50,90,100,98,95
66,1,0,0,0,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
54,1,0,1,0,"Hispanic",1,50,50,57,60,50,7,20,20,50
59,0,1,1,0,"Hispanic",0,50,50,50,30,50,17,50,35,25
25,0,0,1,0,"African American",1,50,NA,NA,NA,NA,82,NA,NA,NA
62,0,1,1,1,"African American",1,50,NA,NA,NA,NA,81,NA,NA,NA
23,1,0,1,1,"Asian",0,85,NA,NA,NA,NA,90,NA,NA,NA
23,1,0,1,0,"African American",1,88,NA,NA,NA,NA,85,NA,NA,NA
44,1,0,0,0,"Hispanic",0,52,NA,NA,NA,NA,82,NA,NA,NA
56,0,1,1,1,"Hispanic",1,51,NA,NA,NA,NA,30,NA,NA,NA
56,1,1,1,0,"Hispanic",1,35,20,25,31,NA,91,79,70,NA
24,1,1,1,0,"Hispanic",1,90,90,80,70,NA,96,88,84,NA
35,1,1,1,0,"Hispanic",1,84,86,58,63,71,90,85,85,85
62,0,1,1,0,"African American",0,50,NA,NA,NA,NA,92,NA,NA,NA
61,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
55,1,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,0,NA,NA,NA
56,1,1,1,1,"Caucasian",1,100,NA,NA,NA,NA,100,NA,NA,NA
19,0,0,0,1,"Caucasian",0,50,100,70,100,100,35,40,35,50
47,1,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,50,NA,NA,NA
42,0,1,1,0,"Hispanic",0,73,88,60,72,69,100,92,76,93
58,1,1,1,0,"Caucasian",0,76,80,72,82,66,89,82,71,81
65,0,1,1,1,"Caucasian",1,80,NA,NA,NA,NA,100,NA,NA,NA
50,1,0,0,1,"Hispanic",0,50,NA,NA,NA,NA,50,NA,NA,NA
80,0,1,1,0,"Caucasian",1,62,100,76,50,72,60,72,50,37
69,1,1,1,0,"Caucasian",1,88,65,91,96,NA,90,97,100,NA
53,1,0,1,0,"Caucasian",0,46,48,50,50,NA,50,50,50,NA
56,0,1,1,0,"Caucasian",1,80,50,62,92,50,100,50,50,50
30,0,1,1,0,"Hispanic",0,100,NA,NA,NA,NA,18,NA,NA,NA
20,0,0,1,0,"African American",1,0,NA,NA,NA,NA,88,NA,NA,NA
41,1,1,1,0,"Hispanic",0,89,NA,NA,NA,NA,3,NA,NA,NA
52,1,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,50,NA,NA,NA
44,1,1,0,1,"African American",1,88,50,50,50,50,90,63,80,78
18,1,1,0,0,"Hispanic",0,50,50,50,50,94,100,100,50,50
46,1,1,1,0,"Hispanic",1,50,76,50,0,56,100,100,100,100
42,1,0,0,0,"Hispanic",1,0,50,50,2,NA,100,93,100,NA
25,1,0,1,1,"Hispanic",0,100,NA,NA,NA,NA,0,NA,NA,NA
49,1,1,1,1,"Caucasian",0,25,NA,NA,NA,NA,0,NA,NA,NA
28,0,0,1,1,"Hispanic",1,60,NA,NA,NA,NA,100,NA,NA,NA
57,1,1,1,1,"Caucasian",0,50,NA,NA,NA,NA,0,NA,NA,NA
53,0,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,16,NA,NA,NA
24,0,0,0,0,"Hispanic",0,75,NA,NA,NA,NA,90,NA,NA,NA
77,1,1,1,1,"Hispanic",0,31,NA,NA,NA,NA,100,NA,NA,NA
73,0,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,100,NA,NA,NA
60,1,0,0,0,"Caucasian",0,50,NA,NA,NA,NA,50,NA,NA,NA
21,0,0,0,1,"Asian",0,50,NA,50,74,50,50,NA,66,50
52,1,1,1,0,"Caucasian",0,50,NA,NA,NA,NA,50,NA,NA,NA
61,0,0,0,0,"Caucasian",1,0,NA,NA,NA,NA,50,NA,NA,NA
77,0,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,50,NA,NA,NA
44,0,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,0,NA,NA,NA
22,0,0,0,1,"Hispanic",1,10,NA,NA,NA,NA,50,NA,NA,NA
53,1,1,1,1,"Hispanic",0,0,NA,NA,NA,NA,0,NA,NA,NA
23,0,0,0,1,"Hispanic",0,0,NA,NA,NA,NA,18,NA,NA,NA
59,1,0,0,0,"African American",1,32,NA,NA,NA,NA,100,NA,NA,NA
47,0,0,1,0,"Hispanic",1,75,NA,NA,NA,NA,80,NA,NA,NA
63,0,1,1,1,"Hispanic",0,11,NA,NA,NA,NA,11,NA,NA,NA
52,1,1,1,0,"Hispanic",0,0,NA,NA,0,0,0,NA,NA,50
49,0,1,1,0,"Caucasian",0,0,NA,1,10,6,4,NA,9,18
33,1,0,0,0,"Hispanic",0,8,NA,NA,NA,NA,82,NA,NA,NA
33,0,1,1,0,"Hispanic",0,0,NA,NA,NA,NA,7,NA,NA,NA
59,0,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,38,NA,NA,NA
61,1,1,1,1,"Hispanic",0,49,NA,NA,NA,NA,50,NA,NA,NA
75,0,1,1,1,"Hispanic",0,4,NA,NA,NA,NA,50,NA,NA,NA
29,1,0,0,1,"Hispanic",0,50,NA,NA,NA,NA,50,NA,NA,NA
52,0,1,1,1,"Caucasian",1,100,NA,NA,NA,NA,99,NA,NA,NA
52,1,1,1,1,"Hispanic",1,70,NA,NA,NA,NA,90,NA,NA,NA
54,1,1,1,0,"Hispanic",1,36,NA,NA,NA,NA,73,NA,NA,NA
66,0,1,1,0,"Hispanic",1,31,NA,NA,NA,NA,93,NA,NA,NA
42,0,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
37,0,0,0,1,"Hispanic",0,50,27,50,25,50,0,16,50,30
83,0,0,0,1,"Hispanic",0,0,0,0,10,0,0,0,25,0
30,1,1,1,0,"Hispanic",0,56,NA,NA,NA,NA,91,NA,NA,NA
33,1,0,1,0,"Hispanic",0,50,NA,NA,NA,NA,31,NA,NA,NA
77,0,1,1,0,"Caucasian",0,0,0,50,0,20,0,0,0,0
66,1,0,1,0,"Hispanic",0,0,0,0,0,20,0,50,0,0
64,0,1,1,0,"Caucasian",1,50,50,50,50,50,60,60,60,61
76,1,1,1,0,"Caucasian",1,50,50,50,50,NA,82,50,60,NA
55,0,0,0,1,"Hispanic",1,100,NA,NA,NA,NA,100,NA,NA,NA
53,1,1,1,1,"African American",1,87,NA,NA,NA,NA,18,NA,NA,NA
72,1,1,1,0,"Hispanic",1,94,50,65,85,95,93,90,70,100
49,1,1,1,1,"Caucasian",1,100,NA,NA,NA,NA,81,NA,NA,NA
36,1,1,1,1,"Caucasian",1,100,NA,NA,NA,NA,100,NA,NA,NA
62,1,1,1,1,"Caucasian",1,100,NA,NA,NA,NA,94,NA,NA,NA
52,1,1,1,1,"Hispanic",1,50,NA,NA,NA,NA,8,NA,NA,NA
24,1,1,1,1,"Hispanic",0,100,NA,NA,NA,NA,50,NA,NA,NA
62,0,1,1,1,"Caucasian",1,90,NA,NA,NA,NA,91,NA,NA,NA
41,1,0,1,0,"Caucasian",0,99,NA,NA,NA,NA,29,NA,NA,NA
36,1,1,1,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
45,1,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,50,NA,NA,NA
46,0,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,50,NA,NA,NA
40,1,0,0,0,"Hispanic",1,50,50,50,50,50,90,80,76,50
66,1,1,1,0,"Caucasian",0,50,NA,NA,NA,NA,71,NA,NA,NA
40,1,1,1,1,"African American",1,2,NA,NA,NA,NA,90,NA,NA,NA
39,0,1,1,1,"African American",1,36,NA,NA,NA,NA,71,NA,NA,NA
41,0,0,0,1,"Hispanic",0,93,NA,NA,NA,NA,90,NA,NA,NA
55,1,0,0,1,"Hispanic",0,50,NA,NA,NA,NA,8,NA,NA,NA
46,1,0,1,1,"Caucasian",0,48,NA,NA,NA,NA,0,NA,NA,NA
24,0,1,0,0,"Hispanic",0,50,NA,NA,NA,NA,40,NA,NA,NA
19,0,1,0,1,"Hispanic",0,50,NA,NA,NA,NA,70,NA,NA,NA
29,0,0,0,1,"Hispanic",1,50,NA,NA,NA,NA,71,NA,NA,NA
51,1,1,1,1,"Caucasian",0,50,NA,NA,NA,NA,71,NA,NA,NA
55,0,0,1,1,"African American",1,50,50,50,50,50,93,50,50,96
58,1,1,1,1,"African American",1,60,NA,NA,NA,NA,91,NA,NA,NA
40,0,1,1,0,"Caucasian",0,50,NA,NA,NA,NA,0,NA,NA,NA
34,1,1,1,0,"Caucasian",0,50,NA,NA,NA,NA,0,NA,NA,NA
19,1,0,0,0,"Hispanic",0,100,NA,NA,NA,NA,50,NA,NA,NA
49,0,1,1,0,"Hispanic",0,70,NA,NA,NA,NA,8,NA,NA,NA
42,1,0,0,0,"Hispanic",0,89,NA,NA,NA,NA,31,NA,NA,NA
74,0,0,1,1,"Caucasian",1,50,NA,NA,NA,NA,50,NA,NA,NA
48,1,1,1,0,"Hispanic",0,100,NA,NA,NA,NA,19,NA,NA,NA
76,1,1,1,0,"Hispanic",0,100,NA,NA,NA,NA,29,NA,NA,NA
64,1,1,1,0,"Hispanic",0,50,NA,NA,NA,NA,0,NA,NA,NA
41,0,0,0,0,"Hispanic",0,41,NA,NA,NA,NA,0,NA,NA,NA
43,1,1,1,0,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
19,1,1,0,0,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
69,0,1,1,0,"Hispanic",1,50,NA,NA,NA,NA,100,NA,NA,NA
69,1,1,1,0,"Hispanic",1,50,NA,NA,NA,NA,100,NA,NA,NA
60,0,1,1,1,"Caucasian",0,50,NA,NA,NA,NA,61,NA,NA,NA
60,1,1,0,1,"Hispanic",0,36,NA,NA,NA,NA,50,NA,NA,NA
69,0,1,1,1,"Caucasian",1,100,NA,NA,NA,NA,81,NA,NA,NA
23,1,1,0,0,"Hispanic",0,100,NA,NA,NA,NA,82,NA,NA,NA
47,1,1,1,0,"Caucasian",0,50,50,50,50,50,86,75,72,74
53,0,1,1,1,"Hispanic",1,100,NA,NA,NA,NA,93,NA,NA,NA
42,0,0,0,1,"Hispanic",1,100,NA,NA,NA,NA,93,NA,NA,NA
68,1,0,1,1,"Hispanic",1,50,30,63,50,50,82,50,81,80
25,1,1,0,0,"Hispanic",0,50,NA,NA,NA,NA,0,NA,NA,NA
69,1,0,1,1,"Caucasian",1,50,50,100,50,79,95,90,85,50
50,0,1,1,1,"Hispanic",0,0,NA,NA,NA,NA,0,NA,NA,NA
51,0,1,1,0,"Hispanic",0,0,15,6,6,2,0,0,8,50
72,0,1,0,0,"Caucasian",1,0,25,30,30,40,100,100,100,80
59,1,0,1,0,"Caucasian",0,100,84,100,50,NA,50,50,50,NA
69,0,1,1,1,"Hispanic",0,0,0,0,0,0,0,50,0,50
66,1,1,1,1,"Hispanic",0,50,0,23,10,NA,0,0,0,NA
34,1,1,1,0,"Hispanic",1,62,NA,NA,NA,NA,50,NA,NA,NA
69,0,1,1,0,"Caucasian",0,29,NA,NA,NA,NA,50,NA,NA,NA
29,0,0,1,1,"Hispanic",0,50,NA,NA,NA,NA,60,NA,NA,NA
34,1,0,1,1,"Hispanic",0,50,NA,NA,NA,NA,50,NA,NA,NA
42,1,1,1,0,"Caucasian",0,50,NA,NA,NA,NA,10,NA,NA,NA
64,1,1,1,0,"Caucasian",1,50,85,60,50,50,5,50,0,50
23,1,0,0,1,"Hispanic",0,100,NA,NA,NA,NA,50,NA,NA,NA
56,0,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,21,NA,NA,NA
39,1,1,1,0,"Hispanic",0,100,NA,NA,NA,NA,100,NA,NA,NA
47,0,1,1,0,"Hispanic",1,50,50,50,50,79,50,50,50,92
54,1,1,1,1,"Hispanic",0,100,NA,NA,NA,NA,59,NA,NA,NA
24,1,0,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
80,1,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,100,NA,NA,NA
39,0,1,1,0,"Caucasian",1,100,NA,NA,NA,NA,100,NA,NA,NA
38,0,1,1,0,"Caucasian",1,84,NA,NA,NA,NA,100,NA,NA,NA
52,0,1,0,1,"Hispanic",1,50,NA,NA,NA,NA,80,NA,NA,NA
50,1,1,1,1,"Hispanic",1,100,NA,NA,NA,NA,100,NA,NA,NA
41,0,0,0,1,"Caucasian",0,16,50,23,30,13,0,50,0,12
38,1,1,1,1,"African American",1,0,75,10,10,50,100,50,100,50
43,0,1,1,1,"Caucasian",1,100,100,100,100,NA,100,100,100,NA
43,1,1,1,1,"Caucasian",1,77,99,78,78,100,81,28,100,89
43,1,1,1,1,"Caucasian",1,100,99,50,97,96,81,91,96,97
30,0,1,1,0,"Hispanic",0,71,50,84,89,92,62,50,71,74
28,1,1,1,0,"Hispanic",0,50,76,95,100,NA,50,50,78,NA
76,1,1,0,1,"Hispanic",0,67,NA,NA,NA,NA,41,NA,NA,NA
54,1,1,1,1,"Hispanic",0,100,NA,NA,NA,NA,75,NA,NA,NA
36,0,1,1,1,"Hispanic",1,50,65,80,75,80,70,80,85,50
54,1,1,0,1,"Hispanic",0,60,NA,NA,NA,NA,50,NA,NA,NA
21,1,0,1,1,"Hispanic",0,62,NA,NA,NA,NA,70,NA,NA,NA
53,1,0,0,1,"Hispanic",0,50,NA,NA,NA,NA,80,NA,NA,NA
55,1,1,1,0,"Hispanic",1,50,NA,NA,NA,NA,50,NA,NA,NA
61,1,1,1,1,"Caucasian",0,100,82,93,89,100,92,100,95,50
65,1,1,1,0,"Caucasian",1,100,NA,NA,NA,NA,100,NA,NA,NA
63,1,1,1,1,"Caucasian",0,70,NA,NA,NA,NA,10,NA,NA,NA
21,1,0,0,0,"Caucasian",0,69,NA,NA,NA,NA,50,NA,NA,NA
25,0,0,0,0,"African American",0,50,NA,NA,NA,NA,80,NA,NA,NA
52,1,0,1,0,"African American",1,40,NA,NA,NA,NA,100,NA,NA,NA
26,1,0,1,1,"African American",1,34,NA,NA,NA,NA,81,NA,NA,NA
19,0,0,0,1,"African American",1,9,NA,NA,NA,NA,100,NA,NA,NA
80,0,1,0,1,"Caucasian",0,50,50,50,40,50,18,21,9,23
37,1,1,1,1,"Hispanic",1,100,100,95,100,100,100,100,50,100
40,1,1,1,0,"Hispanic",1,100,NA,NA,NA,NA,100,NA,NA,NA
47,1,1,1,0,"Hispanic",0,100,100,100,100,NA,0,0,0,NA
47,0,1,1,0,"Caucasian",0,74,50,100,50,100,30,50,50,19
65,1,0,1,0,"Hispanic",0,50,NA,NA,NA,NA,19,NA,NA,NA
26,1,1,1,0,"Hispanic",1,100,NA,NA,NA,NA,100,NA,NA,NA
25,0,1,1,1,"Hispanic",0,64,NA,NA,NA,NA,38,NA,NA,NA
64,0,1,1,0,"Caucasian",0,50,NA,NA,NA,NA,10,NA,NA,NA
31,1,0,1,1,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
41,1,1,1,1,"African American",0,36,NA,NA,NA,NA,100,NA,NA,NA
55,1,1,1,0,"Caucasian",0,40,50,50,50,50,61,50,50,62
38,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
29,0,0,0,1,"African American",1,71,NA,NA,NA,NA,89,NA,NA,NA
71,1,1,1,0,"Caucasian",1,88,NA,NA,NA,NA,100,NA,NA,NA
23,1,1,1,0,"African American",1,0,NA,NA,NA,NA,83,NA,NA,NA
63,1,1,1,0,"Caucasian",0,29,NA,NA,NA,NA,0,NA,NA,NA
62,0,1,1,0,"Caucasian",1,32,NA,NA,NA,NA,10,NA,NA,NA
73,1,1,1,1,"Caucasian",1,100,NA,NA,NA,NA,32,NA,NA,NA
68,0,1,1,0,"Caucasian",1,50,NA,NA,NA,NA,50,NA,NA,NA
53,0,0,1,1,"African American",1,44,NA,NA,NA,NA,99,NA,NA,NA
29,1,1,1,1,"Hispanic",1,50,NA,NA,NA,NA,100,NA,NA,NA
20,1,0,0,1,"African American",1,71,NA,NA,NA,NA,100,NA,NA,NA
61,1,1,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
37,0,0,1,0,"Caucasian",0,76,NA,NA,NA,NA,50,NA,NA,NA
51,1,1,1,0,"Hispanic",0,50,50,NA,91,100,0,50,NA,0
40,1,1,1,0,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
19,1,0,0,0,"African American",0,56,NA,NA,NA,NA,80,NA,NA,NA
43,0,0,1,0,"African American",1,50,NA,NA,NA,NA,80,NA,NA,NA
51,1,1,1,1,"African American",1,97,NA,NA,NA,NA,98,NA,NA,NA
27,0,0,1,1,"African American",0,50,NA,NA,NA,NA,100,NA,NA,NA
68,0,1,1,1,"Caucasian",0,0,5,50,20,NA,0,50,11,NA
25,1,1,1,1,"Hispanic",1,0,NA,NA,NA,NA,100,NA,NA,NA
47,1,0,1,1,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
32,0,1,1,0,"Hispanic",1,43,NA,NA,NA,NA,100,NA,NA,NA
38,1,0,1,0,"Hispanic",0,50,NA,NA,NA,NA,90,NA,NA,NA
49,1,1,1,1,"African American",1,84,96,97,100,97,100,100,100,100
26,0,0,1,1,"African American",1,91,100,100,97,NA,100,100,50,NA
20,1,0,1,1,"African American",1,100,100,100,100,NA,100,100,100,NA
44,0,1,1,0,"African American",0,9,NA,NA,NA,NA,98,NA,NA,NA
66,1,1,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
26,1,1,0,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
59,0,1,1,0,"Hispanic",0,0,NA,NA,NA,NA,0,NA,NA,NA
77,0,1,1,1,"Hispanic",1,35,NA,NA,NA,NA,100,NA,NA,NA
72,1,0,1,1,"Hispanic",1,50,NA,NA,NA,NA,19,NA,NA,NA
30,1,1,1,1,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
21,1,0,1,1,"Hispanic",1,100,NA,NA,NA,NA,85,NA,NA,NA
73,1,0,0,1,"Hispanic",0,50,NA,NA,NA,NA,76,NA,NA,NA
31,1,1,1,0,"Caucasian",1,100,NA,NA,NA,NA,100,NA,NA,NA
20,1,0,1,0,"Caucasian",1,50,NA,NA,NA,NA,50,NA,NA,NA
41,0,0,1,0,"African American",1,100,100,100,100,100,100,50,50,100
17,1,0,0,1,"Hispanic",1,83,NA,NA,NA,NA,100,NA,NA,NA
16,0,0,0,1,"Hispanic",1,88,NA,NA,NA,NA,100,NA,NA,NA
51,1,0,1,0,"Hispanic",1,50,100,NA,50,50,71,80,NA,70
24,0,0,0,0,"Hispanic",1,79,51,71,50,50,89,50,50,91
60,1,1,1,1,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
47,1,1,1,0,"African American",1,50,97,91,85,85,100,100,100,99
30,1,0,1,1,"Caucasian",0,0,49,22,16,26,0,0,50,0
59,1,1,1,1,"Hispanic",0,18,NA,70,NA,50,30,NA,50,60
67,0,1,1,1,"Caucasian",0,50,NA,NA,NA,NA,88,NA,NA,NA
23,0,0,1,0,"Hispanic",0,45,51,50,50,50,85,73,70,50
20,1,0,0,0,"Hispanic",0,85,68,74,50,NA,82,69,65,NA
53,0,0,0,1,"Hispanic",1,50,NA,61,50,50,100,NA,50,50
64,1,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,71,NA,NA,NA
29,1,1,1,0,"Hispanic",1,74,NA,NA,NA,NA,100,NA,NA,NA
38,1,1,1,1,"African American",1,60,NA,NA,NA,NA,100,NA,NA,NA
62,0,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,100,NA,NA,NA
32,1,1,1,1,"Hispanic",1,80,NA,NA,NA,NA,90,NA,NA,NA
42,1,1,1,1,"Caucasian",1,19,NA,NA,NA,NA,0,NA,NA,NA
63,1,1,1,0,"Caucasian",0,52,NA,NA,NA,NA,79,NA,NA,NA
68,1,1,1,0,"African American",1,43,NA,NA,NA,NA,100,NA,NA,NA
35,1,1,1,0,"Caucasian",0,50,NA,NA,NA,NA,2,NA,NA,NA
